Designator,Mid X,Mid Y,Layer,Rotation
C20,165.0000mm,-82.0000mm,Top,0.0000
C21,171.0000mm,-72.0000mm,Top,0.0000
C22,171.0000mm,-76.5000mm,Top,0.0000
C23,176.0000mm,-76.5000mm,Top,0.0000
C24,179.2000mm,-73.5250mm,Top,270.0000
C25,192.5000mm,-71.5000mm,Top,0.0000
C26,192.5000mm,-77.0000mm,Top,0.0000
C27,179.6000mm,-66.0000mm,Top,180.0000
C30,183.0000mm,-93.5000mm,Top,0.0000
C31,191.5000mm,-93.5000mm,Top,0.0000
C32,187.0000mm,-93.5000mm,Top,0.0000
C33,156.5000mm,-88.0000mm,Top,0.0000
C34,172.0000mm,-90.0000mm,Top,0.0000
C40,126.5000mm,-95.0000mm,Top,0.0000
C41,126.5000mm,-99.0000mm,Top,0.0000
C42,126.5000mm,-103.0000mm,Top,0.0000
C43,125.2000mm,-106.0000mm,Top,0.0000
C44,106.0000mm,-96.0000mm,Top,0.0000
C50,164.0000mm,-108.5000mm,Top,0.0000
C51,164.0000mm,-111.0000mm,Top,0.0000
C60,176.0000mm,-105.0000mm,Top,0.0000
C61,184.0000mm,-105.0000mm,Top,0.0000
C62,180.0000mm,-105.0000mm,Top,0.0000
C63,194.5000mm,-120.0000mm,Top,0.0000
C64,194.5000mm,-126.0000mm,Top,0.0000
D1,113.0000mm,-114.6000mm,Top,0.0000
D2,124.3000mm,-114.6000mm,Top,0.0000
D3,135.6000mm,-114.6000mm,Top,0.0000
D4,146.9000mm,-114.6000mm,Top,0.0000
D5,137.0000mm,-69.0000mm,Top,0.0000
D6,149.0000mm,-77.5000mm,Top,0.0000
D7,185.0000mm,-112.0000mm,Top,0.0000
D8,114.0000mm,-108.5000mm,Top,180.0000
D9,120.0000mm,-106.5000mm,Top,0.0000
F1,128.0000mm,-69.0000mm,Top,0.0000
L1,186.0000mm,-74.0000mm,Top,0.0000
L3,158.0000mm,-66.5000mm,Top,0.0000
PF1,188.5000mm,-120.0000mm,Top,180.0000
PF2,188.5000mm,-126.0000mm,Top,180.0000
Q1,113.0000mm,-121.0000mm,Top,0.0000
Q2,124.3000mm,-121.0000mm,Top,0.0000
Q3,135.6000mm,-121.0000mm,Top,0.0000
Q4,146.9000mm,-121.0000mm,Top,0.0000
Q5,148.0000mm,-70.0000mm,Top,0.0000
R1,113.5000mm,-111.5000mm,Top,180.0000
R2,118.6000mm,-114.6000mm,Top,0.0000
R3,129.9000mm,-114.6000mm,Top,0.0000
R4,141.2000mm,-114.6000mm,Top,0.0000
R5,110.9730mm,-125.6000mm,Top,0.0000
R6,122.2730mm,-125.6000mm,Top,0.0000
R7,133.5730mm,-125.6000mm,Top,0.0000
R8,144.8730mm,-125.6000mm,Top,0.0000
R9,156.5000mm,-125.0000mm,Top,0.0000
R10,173.5000mm,-125.0000mm,Top,0.0000
R13,177.0000mm,-117.0000mm,Top,0.0000
R20,143.0000mm,-77.5000mm,Top,0.0000
R21,179.6000mm,-68.0000mm,Top,180.0000
R22,176.0000mm,-68.0000mm,Top,180.0000
R23,170.5000mm,-63.5000mm,Top,0.0000
R24,174.2000mm,-63.5000mm,Top,0.0000
R27,152.0000mm,-84.0000mm,Top,0.0000
R28,152.0000mm,-88.0000mm,Top,0.0000
R29,172.0000mm,-88.0000mm,Top,180.0000
R31,160.0000mm,-82.0000mm,Top,0.0000
R40,128.4000mm,-106.0000mm,Top,0.0000
R41,114.0000mm,-103.0000mm,Top,0.0000
R42,110.0000mm,-103.0000mm,Top,0.0000
R43,122.0000mm,-99.0000mm,Top,0.0000
R44,122.0000mm,-103.0000mm,Top,0.0000
R45,161.0000mm,-100.0000mm,Top,180.0000
R46,161.0000mm,-102.5000mm,Top,180.0000
RT1,168.0000mm,-88.0000mm,Top,180.0000
U1,140.0000mm,-99.5000mm,Top,90.0000
U2,176.0000mm,-74.0000mm,Top,0.0000
U3,188.0000mm,-88.0000mm,Top,0.0000
U4,158.5000mm,-114.6000mm,Top,0.0000
U5,169.5000mm,-114.6000mm,Top,0.0000
