Comment,Designator,Footprint,LCSC Part #
10uF/50V,"C20,C63,C64",C_1210_3225Metric,C33546018
10uF/50V X7R,"C21,C22",C_1210_3225Metric,C33546018
100nF/25V,C23,C_0402_1005Metric,C307331
100nF/50V,"C24,C32,C33,C34,C41,C42,C43,C51,C60,C62",C_0603_1608Metric,C14663
22uF/25V,"C25,C26,C31",C_1206_3216Metric,C12891
22pF,C27,C_0603_1608Metric,C1653
10uF/25V,"C30,C40,C44,C50,C61",C_0805_2012Metric,C15850
SS34,"D1,D2,D3,D4,D9",D_SMA,C8678
SMBJ18A,D5,D_SMB,C19077573
BZT52C12,D6,D_SOD-123,C19077410
WS2812B-V6,D7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885
USBLC6-2SC6,D8,SOT-23-6,C2687116
8A 250V,F1,Fuse_2410_6125Metric,C54824501
USB-C 16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10uH 4.5A,L1,L_cjiang_FXL0630_7.0x6.6mm,C2849537
10uH,L3,L_cjiang_FXL0630_7.0x6.6mm,C2849537
PTC 2A 30V,"PF1,PF2",R_1812_4532Metric,C18198342
20N06,"Q1,Q2,Q3,Q4",TO-252-3_TabPin2,C2890395
SUD50P06-15,Q5,TO-252-3_TabPin2,C7503186
220R,"R1,R2,R3,R4",R_0805_2012Metric,C17557
10k,"R5,R6,R7,R8,R40,R43,R44",R_0805_2012Metric,C17414
47R,"R9,R10,R13",R_0805_2012Metric,C17714
100k,R20,R_0805_2012Metric,C149504
52.3k 1%,R21,R_0805_2012Metric,C2933465
10k 1%,"R22,R28,R29",R_0805_2012Metric,C17414
100k 1%,"R23,R27",R_0805_2012Metric,C149504
18k 1%,R24,R_0805_2012Metric,C17506
1R,R31,R_0805_2012Metric,C25271
5.1k,"R41,R42",R_0805_2012Metric,C27834
4.7k,"R45,R46",R_0805_2012Metric,C17673
NTC 10k B3950,RT1,R_0805_2012Metric,C49247662
ESP32-S3-WROOM-1U-N16,U1,ESP32-S3-WROOM-1U,C2980298
AP63301WU-7,U2,TSOT-23-6,C2158003
BL1117-33CX,U3,SOT-223-3_TabPin2,C5400
74HCT125,"U4,U5",SOIC-14_3.9x8.7mm_P1.27mm,C5962
