Value,Footprint,Refs,Qty,MPN,LCSC,JLC_Library,Stock,Price_USD,Notes
0R DNP,R_0805_2012Metric,R30,1,0805W8F0000T5E,C17477,basic,8973359,0.0044,"DO NOT FIT - bypass jumper across L3. The input LC filter (L3/C20/R31) is populated per the 2026-08-29 decision, so fitting R30 shorts the inductor out and defeats the filter. Set KiCad (dnp yes). Supersedes the earlier 'rated >= 2 A' note - an unfitted part carries no current"
10k,R_0805_2012Metric,"R5,R6,R7,R8,R40,R43,R44",7,0805W8F1002T5E,C17414,basic,31886656,0.0055,same part covers the 10k 1% line
10k 1%,R_0805_2012Metric,"R22,R28,R29",3,0805W8F1002T5E,C17414,basic,31886656,0.0055,
220R,R_0805_2012Metric,"R1,R2,R3,R4",4,0805W8F2200T5E,C17557,basic,1351925,0.0058,gate resistors
47R,R_0805_2012Metric,"R9,R10,R13",3,0805W8F470JT5E,C17714,basic,764710,0.0077,
47R DNP,R_0805_2012Metric,"R11,R12",2,0805W8F470JT5E,C17714,basic,764710,0.0077,DO NOT FIT - APA102 clock provision per spec 6.2; set KiCad (dnp yes)
100k,R_0805_2012Metric,R20,1,0805W8F1003T5E,C149504,basic,5202116,0.0059,
100k 1%,R_0805_2012Metric,"R23,R27",2,0805W8F1003T5E,C149504,basic,5202116,0.0059,R23 = EN_BUCK UVLO divider; R27 = VIN_SENSE divider
5.1k,R_0805_2012Metric,"R41,R42",2,0805W8F5101T5E,C27834,basic,4481391,0.0064,USB-C CC pulldowns
18k 1%,R_0805_2012Metric,R24,1,0805W8F1802T5E,C17506,preferred,243381,0.0071,EN_BUCK divider - no Basic part at this value
52.3k 1%,R_0805_2012Metric,R21,1,FRC0805F5232TS,C2933465,extended,68775,0.0035,"buck FB divider - extended library, attracts a setup fee"
1R,R_0805_2012Metric,R31,1,0805W8F100KT5E,C25271,basic,484448,0.008,LC filter damping - NOW FITTED per 2026-08-29 decision
4.7k,R_0805_2012Metric,"R45,R46",2,0805W8F4701T5E,C17673,basic,7064039,0.005,"NEW - I2C pull-ups to +3V3, refs provisional until placed"
100nF/50V,C_0603_1608Metric,"C24,C32,C33,C34,C41,C42,C43,C51,C60,C62",10,CC0603KRX7R9BB104,C14663,basic,70663295,0.015,
100nF/25V,C_0402_1005Metric,C23,1,CL05B104KB54PNC,C307331,basic,24054503,0.0088,"buck Cin - 50 V part, exceeds the 25 V called for"
10uF/25V,C_0805_2012Metric,"C30,C40,C44,C50,C61",5,CL21A106KAYNNNE,C15850,basic,8003192,0.096,
22uF/25V,C_1206_3216Metric,"C25,C26,C31",3,CL31A226KAHNNNE,C12891,basic,1464722,0.2037,
10uF/50V,C_1210_3225Metric,"C20,C63,C64",3,HGC1210R7106M500NSVK,C33546018,extended,16809,0.1901,"50 V X7R, swapped from the 100 V FS32X106K101EGG ($0.4774) which was 20% of the BOM on a 12 V board. All five sit on 12 V-class rails and the SMBJ18A clamps transients at 29.2 V, well under 50 V. Same 1210 land (identical EasyEDA footprint UUID). Saves $1.42/board. Do NOT drop to 25 V: C21/C22 are the buck's input caps and a 25 V X7R 1210 loses 40-60% of its capacitance at 12 V bias"
10uF/50V X7R,C_1210_3225Metric,"C21,C22",2,HGC1210R7106M500NSVK,C33546018,extended,16809,0.1901,"50 V X7R, swapped from the 100 V FS32X106K101EGG ($0.4774) which was 20% of the BOM on a 12 V board. All five sit on 12 V-class rails and the SMBJ18A clamps transients at 29.2 V, well under 50 V. Same 1210 land (identical EasyEDA footprint UUID). Saves $1.42/board. Do NOT drop to 25 V: C21/C22 are the buck's input caps and a 25 V X7R 1210 loses 40-60% of its capacitance at 12 V bias"
22pF,C_0603_1608Metric,C27,1,CL10C220JB8NNNC,C1653,basic,3361370,0.0068,buck FB feedforward
8A 250V,Fuse_2410_6125Metric,F1,1,BSMD2410C-1800T,C49305064,extended,8740,0.0684,"8 A per the 2026-08-29 decision. 250 V, 100 A interrupt, I2t 192. Replaces LUTE LTC2410-1800TSK (C54824501), which JLC refused to select for assembly: that part has no EasyEDA library data, so it is catalogue-only. KEEP 8 A - it must open below the 7.5 A blade fuse the spec requires upstream, so the 10 A parts are not substitutes"
BL1117-33CX,SOT-223-3_TabPin2,U3,1,BL1117-33CX,C5400,extended,99728,0.06,CHANGED per 2026-08-29 decision - 2 mA Iq vs 5 mA. Update Value to 'BL1117-33CX'
74HCT125,SOIC-14_3.9x8.7mm_P1.27mm,"U4,U5",2,"74HCT125D,653",C5962,extended,88003,0.2047,"Nexperia - the only SOIC-14 option at JLC. 160 uA Iq, 6 mA drive"
ESP32-S3-WROOM-1U-N16,ESP32-S3-WROOM-1U,U1,1,ESP32-S3-WROOM-1U-N16,C2980298,extended,4667,5.0206,"355 mA TX / 95 mA RX - confirms U3 must carry ~350 mA, which is why no SOT-23 LDO can serve"
AP63301WU-7,TSOT-23-6,U2,1,AP63301WU-7,C2158003,extended,6114,0.8641,"3.8-32 V in, 3 A, 500 kHz, 22 uA Iq, spread-spectrum. Stock recovered from 417 at original selection"
USBLC6-2SC6,SOT-23-6,D8,1,USBLC6-2SC6,C2687116,extended,103997,0.0475,UMW second source. Genuine ST is C7519 at $0.18 / 46k stock if preferred
SS34,D_SMA,"D1,D2,D3,D4,D9",5,SS34,C8678,basic,4943085,0.0351,"40 V 3 A, Vf 550 mV @ 3 A"
SMBJ18A,D_SMB,D5,1,SMBJ18A,C19077573,preferred,40592,0.0515,"18 V standoff, 22.1 V breakdown, 29.2 V clamp - under the AP63301 32 V abs max. This part is why the board is 12 V only"
BZT52C12,D_SOD-123,D6,1,BZT52C12,C19077410,preferred,680230,0.0168,12 V zener clamping Q5 gate
WS2812B-V6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,D7,1,WS2812B-V5/W,C2874885,extended,254779,0.1097,SUBSTITUTE - the V6 revision is NOT in JLC catalogue; V5/W and B/T are. Confirm the V5 pinout matches the PLCC4 footprint before ordering
20N06,TO-252-3_TabPin2,"Q1,Q2,Q3,Q4",4,20N06,C2890395,extended,28820,0.1206,"60 V 20 A, Vgs(th) 1.6 V. NOTE Rds(on) is 29 mOhm at the 4.5 V the 74HCT125 actually drives, not the 15 mOhm the spec assumed - channel loss 0.116 W not 0.06 W, still only ~6 C"
SUD50P06-15,TO-252-3_TabPin2,Q5,1,SUD50P06-15(UMW),C7503186,extended,65485,0.361,"12 mOhm @ 10 V beats the spec assumption of 30 mOhm - reverse-polarity loss drops 0.75 W to 0.30 W. Vishay original is C141584 at $1.81 / 2.7k stock, 28 mOhm"
NTC 10k B3950,R_0805_2012Metric,RT1,1,HNTC0805-103F3950FB,C49247662,extended,120388,0.0429,+/-1% on both R and B - worth the extra over the +/-5% C338623 for a temperature sensor
PTC 2A 30V,R_1812_4532Metric,"PF1,PF2",2,1812L200/30GR,C18198342,extended,92386,0.1043,2 A hold / 4 A trip / 30 V - matches the schematic value exactly
10uH 4.5A,L_cjiang_FXL0630_7.0x6.6mm,L1,1,PNLS6045-100M,C2849537,extended,5539,0.0688,"Land VERIFIED against the PNLS6045 datasheet p3: terminals D=5.0 x E=1.65 mm on a 6.0x6.0 body, spanning 1.35-3.00 mm from centreline. The VANDIMMER pads (2.50 x 6.00 at +/-2.45) cover 100% of the terminal with a 0.70 mm toe. The footprint NAME is wrong - it is a 6045 land, not an FXL0630 7.0x6.6 - but the GEOMETRY is correct. KiCad's L_Changjiang_FXL0630 covers only 49% of this part's terminal and must not be used. 57 mOhm costs 0.51 W at 3 A; no better 10uH exists at JLC in 6x6 at >= 3.5 A."
10uH,L_cjiang_FXL0630_7.0x6.6mm,L3,1,PNLS6045-100M,C2849537,extended,5539,0.0688,"Land VERIFIED against the PNLS6045 datasheet p3: terminals D=5.0 x E=1.65 mm on a 6.0x6.0 body, spanning 1.35-3.00 mm from centreline. The VANDIMMER pads (2.50 x 6.00 at +/-2.45) cover 100% of the terminal with a 0.70 mm toe. The footprint NAME is wrong - it is a 6045 land, not an FXL0630 7.0x6.6 - but the GEOMETRY is correct. KiCad's L_Changjiang_FXL0630 covers only 49% of this part's terminal and must not be used. DCR matters less here - filter inductor, not the buck."
